consulta,origen,destino,dist_dijkstra,saltos_bfs,nodos_dijkstra,nodos_bfs,t_dijkstra_ms,t_bfs_ms
1,1,500000,343,101,61231,54713,25,7
2,100,1000000,1529,484,1007449,1008999,398,118
3,50000,750000,1802,545,949961,925233,379,104
4,200000,800000,398,124,92234,88414,52,10
5,300000,100000,2072,666,1052769,1051816,387,113
6,1,1087562,300,95,45119,47273,16,6
7,500000,1,343,101,92699,90936,33,9
8,250000,600000,957,300,745739,758054,290,68
9,10000,900000,580,169,179581,156513,91,20
10,400000,150000,578,167,390229,352068,158,30
